speedup,baseline_time,verification_time
2.2011,27.9772,12.7108
1.2227,16.6522,13.6187
1.1847,16.6522,14.0555
1.1477,16.6522,14.5090
1.1265,16.6522,14.7817
1.0089,10.9987,10.9016
1.1920,19.3925,16.2691
1.1643,19.3925,16.6563
1.1079,19.3925,17.5041
1.0430,11.9851,11.4909
1.0153,11.9851,11.8048
1.1646,11.7386,10.0791
1.3085,18.0671,13.8073
1.2278,18.0671,14.7145
1.1521,18.0671,15.6814
1.0582,18.0671,17.0729
1.2510,18.0671,14.4416
1.1184,12.6815,11.3388
1.0685,14.3452,13.4259
1.0642,14.3452,13.4804
1.0276,10.0888,9.8178
1.1021,13.7093,12.4391
1.1487,11.4318,9.9516
1.1105,11.9567,10.7673
1.0818,11.9567,11.0525
1.0764,11.9567,11.1078
1.0578,11.2899,10.6728
1.0384,11.2899,10.8726
1.0653,10.3225,9.6900
2.6609,325.3660,122.2786
7.8922,108.3054,13.7232
2.7448,108.3054,39.4588
1.9242,108.3054,56.2849
1.9096,108.3054,56.7160
1.1392,11.8453,10.3982
4.5019,108.4324,24.0859
3.7361,108.4324,29.0229
1.0108,15.0054,14.8448
1.6031,36.8074,22.9596
9.0041,211.7496,23.5171
8.6381,211.7496,24.5133
8.2384,211.7496,25.7026
4.8471,144.8613,29.8859
4.5169,144.8613,32.0710
4.0769,144.8613,35.5319
3.9028,144.8613,37.1174
1.1307,14.5798,12.8943
1.0919,14.5798,13.3527
1.0567,14.5798,13.7978
1.1363,13.3924,11.7860
1.1073,13.3924,12.0951
1.3327,14.3296,10.7524
1.2209,14.6708,12.0159
1.0812,14.6708,13.5684
1.2385,14.6708,11.8460
1.1540,12.8573,11.1417
1.0418,12.8573,12.3409
1.0238,12.8573,12.5584
1.2260,14.7921,12.0657
1.1427,14.7921,12.9445
1.1098,11.7441,10.5826
1.0641,11.7441,11.0368
1.0392,11.0886,10.6699
1.0147,11.0886,10.9279
1.0371,10.5148,10.1390
1.0335,11.7210,11.3410
1.0313,9.9949,9.6916
1.0268,14.6965,14.3132
1.1044,12.2468,11.0892
1.1309,13.6916,12.1065
1.0121,12.4173,12.2684
1.0984,12.4173,11.3051
1.1432,12.0066,10.5026
1.1244,12.0066,10.6785
1.1883,12.9255,10.8775
1.0897,12.6059,11.5686
1.2586,14.3987,11.4402
1.2229,14.3987,11.7739
3.0596,37.0877,12.1219
2.9430,37.0877,12.6022
1.0324,14.7654,14.3013
1.0117,14.7654,14.5943
1.0079,12.8934,12.7927
1.0957,11.5008,10.4964
1.0280,11.0817,10.7800
1.2556,21.2578,16.9297
1.3121,21.2578,16.2010
1.1419,21.2578,18.6158
1.3053,12.3780,9.4827
1.1338,12.2719,10.8240
1.2691,24.5126,19.3150
1.1667,11.3960,9.7676
1.1057,11.8111,10.6817
1.1482,11.8111,10.2863
1.0771,13.2598,12.3108
1.0404,13.2598,12.7448
1.0585,11.3662,10.7384
1.0139,11.8471,11.6848
2.8885,118.5874,41.0551
1.0547,20.1791,19.1317
1.1209,11.9879,10.6952
1.1478,14.3350,12.4887
1.0842,14.3350,13.2220
1.0774,14.3350,13.3048
1.0565,14.6385,13.8561
1.1900,14.6385,12.3015
7.1027,148.0093,20.8384
3.0827,148.0093,48.0131
1.1331,22.6058,19.9495
1.0379,10.5551,10.1699
1.0875,12.0907,11.1175
1.2215,17.5859,14.3972
1.0572,17.5859,16.6346
1.0195,17.5859,17.2489
1.0868,17.5859,16.1815
1.1158,17.5859,15.7604
1.1366,17.5859,15.4720
1.0436,16.3690,15.6846
1.1786,16.6415,14.1198
1.5843,16.6415,10.5038
1.0311,11.9143,11.5553
1.1278,22.1835,19.6691
1.0121,9.7720,9.6553
1.0779,11.2479,10.4350
1.0889,12.1145,11.1254
1.0908,10.8132,9.9132
1.6514,45.9002,27.7940
1.3045,45.9002,35.1858
1.1419,45.9002,40.1980
1.1205,45.9002,40.9642
1.0692,12.3738,11.5733
1.0350,12.3738,11.9549
1.0521,10.6865,10.1570
1.0101,16.2457,16.0826
1.0929,10.5775,9.6788
1.7411,19.4912,11.1946
1.7244,19.4912,11.3033
1.0557,12.7252,12.0534
1.1288,13.9506,12.3584
1.1225,13.9506,12.4278
1.1452,13.7426,11.9999
1.2554,12.6989,10.1156
1.1173,34.5066,30.8851
1.0021,10.4112,10.3890
1.3270,15.5721,11.7347
1.4257,15.5721,10.9228
1.0359,13.1422,12.6868
1.0132,13.1422,12.9712
1.0111,13.1422,12.9981
3.6156,86.1330,23.8225
3.3854,86.1330,25.4424
3.4163,86.1330,25.2121
3.4041,86.1330,25.3028
3.3338,86.1330,25.8363
2.9746,86.1330,28.9558
1.0622,11.2032,10.5467
12.6347,155.6298,12.3176
11.6400,155.6298,13.3703
3.5616,95.9368,26.9366
2.5016,95.9368,38.3495
1.1676,21.2181,18.1718
1.6134,39.2552,24.3309
2.5527,38.6342,15.1346
1.4193,22.4673,15.8295
1.3176,22.4673,17.0516
1.2557,22.4673,17.8920
1.1954,22.4673,18.7947
1.0129,9.7811,9.6567
